image_name,DATE,DATE_CONFIDENCE,CITY,CITY_CONFIDENCE,STATE,STATE_CONFIDENCE,ZIP,ZIP_CONFIDENCE
f0194_30.png,08/08/89,0.991,"HUNTINGTON BON,",0.287,CA,0.172,92648,
f1421_27.png,08/28/89,0.093,,,,,,
f1954_31.png,9-26-89,0.759,RHINELANDER,0.862,Wisconsin,0.976,54501,
f0891_44.png,,,"Aug 23 1989
Central Falls",0.838,KI,0.325,02863,
f1574_26.png,09/16/89,0.823,ALAMOGORDO,0.139,NM,0.86,88350,
f0649_22.png,8/15/89,0.971,Chadds,0.377,Ford PA,0.899,19317,
f1192_26.png,8/24/89,0.99,BOSTON,0.995,MA,0.995,02121,0.995
f0189_49.png,08-08-89,0.301,GRANADA HILLS,0.97,CA,0.982,91343,0.119
f0362_44.png,8/11/89,0.977,"JANESVILLE, CA",0.791,,0.171,96114,
f0454_20.png,8-7-89,0.932,"LAWRENCEVILLE,",0.505,"GA,",0.118,30244,
f0406_00.png,08/04/89,0.974,ATLANTA,0.982,GA,0.981,30307,0.392
f1131_00.png,,,,,,,,
f0305_08.png,8/6/89,0.976,BoliVAR,0.984,TW,0.118,3800 8,0.128
f0359_05.png,"AUGUST 4,1989",0.943,DETROIT,0.975,MI,0.974,48228,0.14
f1975_00.png,9/25/89,0.988,Louisiana,0.99,MO,0.273,63353,
f0037_16.png,08-03-89,0.907,MARION,0.912,OH10,0.912,43302,0.909
f0220_49.png,08-09-89,0.363,"Redding,",0.909,CA,0.881,96002,
f1857_48.png,9-18-89,0.986,Cordell,0.988,Oklahoma,0.988,73632,0.988
f0903_42.png,"11 AUG 89
NOVATO",0.821,,,CA,0.954,94949,0.952
f0366_08.png,8-9-89,0.909,Oakland,0.915,CA,0.914,94602,0.462
f0530_15.png,,,,,,,,
f1751_08.png,09-14.89,0.991,Phoenix Arizona,0.99,,0.825,85022,
f1464_23.png,"9-9-89
SANFORD",0.253,,,NC.,0.003,27330,
f1818_11.png,09-19-1989,0.562,Oxford,0.987,MS,0.987,38655,0.987
f0268_19.png,11 AUG 1989,0.456,MARY Esther,0.426,FI,0.422,32569,0.155
f1658_04.png,09/18/89,0.908,"FT. COLLINS,",0.363,Co.,0.317,80524,0.053
f0842_22.png,,,,,,,,
f0053_23.png,8-3-89,0.741,"willard
OHIO",0.892,,,44890,0.119
f0789_10.png,"08/07/89
Pell City",0.27,,,Al.,0.297,35125,
f0665_47.png,08/14/89,0.977,"Portland, OR",0.971,,0.971,97202,
f2063_00.png,9-16-89,0.986,Lubbock,0.988,Ty,0.985,79407,
f0315_31.png,"Aug. 10,1989",0.498,BORING,0.988,Oregon,0.272,97009,
f2036_29.png,9-24-89,0.989,SCANDIA,0.99,MN.,0.99,55073,0.315
f0127_07.png,08.02.89,0.363,DETROit,0.989,Mi,0.989,48205,0.988
f1207_46.png,8/29/89,0.97,Clarence ny,0.268,,,14031,0.17
f1285_45.png,8/28/89,0.159,Murray,0.963,KY,0.968,42071,0.908
f1996_12.png,9/16/89,0.971,LONG BEACH,0.363,MS,0.446,39560,
f0847_06.png,,,,,,,,
f1946_25.png,21.,0.428,,,,,,
f0535_19.png,8-8-89,0.66,"Hallandale,",0.674,Fl.,0.682,33009,
f1050_39.png,"August 23,1989",0.499,Plymouth,0.491,N.H.,0.495,03264,0.254
f2049_38.png,09-24-89,0.687,ST10415,0.741,mo,0.739,63123,0.489
f1527_46.png,09/19/89,0.992,San Antonio,0.525,Tx,0.991,78232,0.005
f0897_19.png,8/22/89 8/,0.927,Weymouth,0.975,MA,0.219,02188,
f1747_44.png,9-21-89,0.99,"New Salem,",0.989,N. D.,0.118,58563,
f1583_41.png,9/18/89,0.565,JACKSONVILLE,0.981,AR,0.981,72076,0.98
f1415_37.png,2/7/89,0.968,BURNT HILLS,0.339,N.Y.,0.346,12027,
f0413_09.png,08-10-89,0.984,SACRAMENTO,0.987,CA,0.987,95864,0.446
f0514_14.png,"Aug. 10,1989",0.605,Clarkston,0.964,WA,0.964,99403,0.948
f0498_06.png,08-09-19,0.958,BERKELEY CA,0.332,,0.576,94702,
f0125_02.png,8/3/1989,0.977,WAYNE,0.981,Mi.,0.329,48184,
f0292_16.png,,,,,,,,
f1590_15.png,09/17/89,0.983,"BROWNSVILLE,
TX",0.077,,,,
f1287_40.png,08/28/89,0.987,,,HARRISONBURG VA.,0.073,22801,
f0834_03.png,"AUG 16, 1989",0.986,"N.OLMSTED, OH",0.15,,0.242,44070,
f1803_09.png,Sept. 23/1989,0.674,"Brookfield, Wi.",0.363,,0.457,53005,
f0987_34.png,,,,,,,,
f0198_18.png,08-05-89,0.367,BIRMINGHAM,0.981,AL,0.975,35205,0.39
f1644_01.png,09/16/89,0.978,Kingman,0.979,AZ,0.393,86401,0.534
f0082_40.png,8/7/89,0.987,SAFETY HARBOR,0.363,FL,0.325,34695,
f0556_25.png,8/9/89,0.492,,,,0.021,34990,
f0200_38.png,08/05/89,0.974,Ellenwood,0.976,CA.,0.757,30049,
f1870_30.png,9-22-89,0.986,Runnells,0.987,Iowa,0.987,50237,0.987
f1166_04.png,8-24-89,0.965,5. BURLINGTON,0.953,VT,0.974,05403,0.972
f0167_33.png,8.6.89,0.974,Birmingham,0.981,AL,0.331,35217,
f0252_30.png,"aug. 08,1989",0.95,"Issaquah,",0.967,Wa.,0.363,98027,
f0679_42.png,8-11-89,0.93,"Cookeville, TN",0.825,,0.251,38501,
f2071_28.png,10/2/89,0.935,Austin,0.974,Mn.,0.973,55912,0.973
f1922_38.png,9/23/89,0.612,Sturais,0.614,SD,0.615,57785,0.613
f1544_46.png,09/16/89,0.172,Greenville,0.174,MS,0.174,38701,0.171
f1283_24.png,"8-28-89
MICH",0.941,"Arleston,",0.974,S.C.,0.59,29406,
f0417_44.png,08-10-89,0.99,WasINA,0.993,AK.,0.993,99687,0.949
f1284_38.png,08/26/89,0.901,SULLIVANS,0.909,IS S.C.,0.913,29482,0.904
f0032_27.png,8/3/89,0.468,Dayton,0.492,Ohio,0.489,45411,0.118
f1838_49.png,9-20-89,0.986,Douglas,0.988,WY,0.988,82633,0.988
f1881_37.png,09-21-89,0.989,ST PAUL MN,0.25,,0.118,55108,
f0844_42.png,08-19-89,0.971,Henderen,0.981,Ny.,0.611,43420,
f1040_01.png,8/24/89,0.986,RICHMOND,0.988,VA,0.988,23235,0.29
f0902_17.png,8-19-89,0.484,Metamora.,0.988,IL,0.988,61548,0.988
f1015_14.png,"08-25-89
Stafford,",0.171,,,Va.,0.061,22554,
f0100_42.png,08/05/89,0.281,NORRIS,0.856,TN,0.856,37828,0.854
f0441_00.png,8-7-89,0.912,Red Boiling Springs,0.871,TN.,0.172,37150,
f0972_43.png,08/24/89,0.525,"Fayetteville,",0.526,n.C.,0.486,28304,
f1305_42.png,08-28-89,0.525,Pulaski UA.,0.986,,0.986,24301,
f0866_22.png,8-19-89,0.977,CHICAGO,0.981,IL.,0.979,60638,0.975
f1926_49.png,8-23-89,0.962,Augusth,0.981,ME,0.609,04330,
f0626_23.png,8-16-89,0.99,WEST MIFFLIN,0.99,PX,0.99,15122,0.762
f0356_41.png,8-8-89,0.275,Panorama,0.675,,,91402,0.257
f1515_36.png,09/18/89,0.987,HOUSTON,0.988,TX,0.988,77036,0.988
f2033_24.png,9/25/89,0.979,Milwaukee,0.982,WI,0.526,53217,0.398
f1078_11.png,08.25.89,0.746,Suffolk,0.923,Va.,0.99,23432,0.99
f1701_10.png,9-16-89,0.972,Sheridan,0.981,Wy,0.979,8280/,0.93
f2015_08.png,9/23/89,0.909,"SIOUX FALLS,
SD",0.6,7/03,0.173,5,
f1813_25.png,9-15-89,0.907,"Corpus Christi,",0.877,Tx.,0.335,78374,
f1606_19.png,,,,,,,,
f0949_02.png,8/22/89,0.988,WEST PORT,0.989,MA,0.989,02790,0.277
f1841_05.png,09-16-89,0.095,PHOENIX,0.363,AZ,0.359,85023,0.225
f1896_13.png,"Sept. 24, 89
Palo",0.339,,,IOWA,0.451,52324,0.421
f1339_22.png,"08/29/89
Mechanicsville,",0.33,,,Va.,0.152,23111,
f0528_49.png,11/8/89,0.363,HONOLULU,0.988,HI,0.988,96818,0.988
f0264_18.png,Aug 5 1989,0.47,KingsFord,0.954,MICH,0.954,49801,0.316
f0624_32.png,8-16-89,0.91,,,BALTIMORE MD,0.171,21208,
f1625_05.png,9-16-89,0.866,"Claypool ,",0.853,Arizona,0.674,85532,0.171
f1519_36.png,9/11/89,0.995,Aztec,0.995,N.M,0.995,87410,0.993
f1028_20.png,08/25/89,0.98,,,,,,
f1298_29.png,08/23/89,0.981,Statesville,0.982,NC,0.98,28677,0.954
f0397_27.png,08-06-89,0.273,"BLAM,",0.98,ALA.,0.964,35235,
f0347_04.png,8-8-89,0.99,Midfield,0.99,AL,0.989,35228,0.989
f1943_00.png,9-29-89,0.98,CORFU,0.983,NY,0.983,14036,0.983
f0334_01.png,"08/08/89
TUSCALOOSA",0.372,,,A1,0.409,35401,
f1082_22.png,,,,,,,,
f2042_30.png,09-24-89,0.39,Tucson,0.978,Az.,0.324,85746,
